"","ctr_code","country","Marine_Area","Shelf_Area","Coastline","Land_Area","Reef_Area","Mangrove_Area","Inshore_Fishing_Area","Reefs_At_Risk","Population","Coastal_Population","GDP","GDP_/_Capita","Fish_Consumption","Human_Development_Index"
"65",69,"Malaysia",198200,335900,4675,328657,3600,7097.3,180845,91,28728607,98,4.167e+11,14700,53,0.744
"66",70,"Maldives",1e+06,NA,644,298,8920,NA,34538,11,394999,81.1,1.776e+09,4600,160,0.602
"67",71,"Marshall Islands",2131000,NA,370.4,181,6110,NA,NA,3,67182,53.3,1.335e+11,2500,61,NA
"68",72,"Martinique",45000,NA,350,1060,260,17.05,NA,100,429510,100,6117,14400,NA,NA
"69",73,"Mauritius",1291000,NA,177,2030,870,1.2,29061,81,1303717,100,1.749e+10,11200,21,0.701
"70",74,"Mayotte",73600,NA,185.2,374,570,7.1,NA,100,209530,NA,953600000,4900,NA,NA
"71",75,"Mexico",2997700,393300,9330,1943945,1220,7700.57,419102,39,113724226,28.7,1.56e+12,13800,11,0.75
"72",76,"Minor Outlying Islands",NA,NA,11.2,3,NA,NA,NA,NA,0,NA,0,0,NA,NA
"73",77,"Montserrat",7000,NA,40,102,25,0.05,NA,NA,5140,NA,2.9e+07,3400,NA,NA
"74",78,"Mozambique",493700,73300,2470,786380,1860,2909,94212,76,22948858,59,2.219e+10,1000,2,NA
"75",79,"Myanmar",358500,216400,14708,657740,1870,5029.11,162508,77,42720196,49,74350,1800,17,0.451
"76",80,"Nauru",431000,NA,30,21,50,1,NA,100,9322,NA,6e+07,5000,50,NA
"77",81,"Navassa Island (USA)",NA,NA,8,5.4,NA,NA,NA,NA,0,NA,0,0,NA,NA
"78",82,"Netherlands Antilles",79000,NA,364,960,250,11.34,NA,100,225369,100,2.8e+09,16000,22,NA
"79",83,"New Caledonia",1740000,NA,2254,18275,40000,456,NA,13,256275,100,3.158e+09,15000,25,NA
"80",84,"New Zealand",3887400,247800,15134,267710,NA,260.5,275790,NA,4290347,100,1.192e+11,28000,NA,0.907
"81",85,"Nicaragua",NA,68600,910,119990,870,670.68,54615,58,5666301,71.6,1.734e+10,2900,2,0.71
"82",86,"Niue",390,NA,64,260,170,30,NA,43,1311,NA,10010000,5800,62,NA
"83",87,"Northern Mariana Islands",1823000,NA,1482,464,50,7,NA,NA,46050,NA,9e+08,12500,NA,NA
"84",88,"Oman",487400,46700,1374,309500,530,10.88,59071,51,3027959,88.5,7.653e+10,25800,NA,0.814
"85",89,"Pakistan",201500,43700,1046,770875,50,977.34,45913,NA,187342721,9.1,4.512e+11,2400,2,0.49
"86",90,"Palau",629000,NA,1519,459,1150,47.08,NA,0,20956,NA,1.64e+08,8100,108,NA
"87",91,"Palmyra Atoll",NA,NA,14.5,11.9,NA,NA,NA,NA,0,NA,0,0,NA,NA
"88",92,"Panama",274600,44200,2490,74340,1600,1744.44,53404,65,3460462,100,4.482e+10,12700,14,0.755
"89",93,"Papua New Guinea",1613800,132400,5152,452860,13840,4264.82,191256,46,6187591,61.3,1.493e+10,2500,14,0.431
"90",95,"Philippines",293800,244500,36289,298170,25060,2564.82,272921,97,101833938,100,3.532e+11,3500,30,0.638
"91",96,"Pitcairn Islands",8e+05,NA,51,47,100,0,NA,0,3500,NA,NA,NA,NA,NA
"92",97,"Puerto Rico",205000,NA,501,8870,1610,73.94,NA,100,3989133,100,6.484e+10,16300,1,NA
"93",98,"Qatar",31000,NA,60,11586,700,12.27,25318,66,848016,100,1.222e+11,145300,10,0.803
"94",99,"Réunion",318300,NA,207,2502,50,NA,NA,100,766153,100,4348,5800,10,NA
"95",100,"Samoa",120000,4500,403,2821,490,7,2087,95,193161,100,1.002e+09,5200,32,0.785
"96",101,"Sao Tome and Principe",NA,1460,209,964,NA,NA,1902,NA,179506,99.9,316900000,1800,NA,0.488
"97",102,"Saudi Arabia",NA,95600,2640,2149690,6660,204,107249,60,26131703,30.3,6.225e+11,24200,7,0.752
"98",103,"Senegal",147200,21000,531,192530,NA,1853,23092,NA,12643799,83.2,2.386e+10,1900,NA,0.499
"99",104,"Seychelles",1334000,50000,491,455,1690,32.26,39063,17,89188,99.9,1.908e+09,21600,65,0.843
"100",105,"Sierra Leone",NA,23200,402,71620,NA,1838,23061,NA,5363669,54.7,4.812e+09,900,NA,0.336
"101",106,"Singapore",700,700,193,687,100,4.6,1067,100,4740737,100,2.924e+11,57200,NA,0.846
"102",107,"Solomon Islands",1377100,25900,5313,27986,5750,602.52,36282,46,571890,100,1.559e+09,2800,33,0.494
"103",108,"Somalia",NA,40400,3025,627337,710,48,NA,95,9925640,54.8,5.896e+09,600,2,NA
"104",109,"South Africa",NA,160900,2798,1214470,50,30.54,131147,NA,49004031,38.9,5.275e+11,10700,NA,0.597
"105",110,"Spratly Islands",NA,NA,926,5,NA,NA,NA,NA,0,NA,0,0,NA,NA
"106",111,"Sri Lanka",500800,19200,1340,64630,680,88.82,32453,86,21283913,100,1.047e+11,4900,21,0.658
"107",113,"St. Kitts and Nevis",10000,845,135,261,160,0.68,653,100,50314,NA,719500000,14400,37,0.821
"108",114,"St. Lucia",15000,522,158,606,90,1.91,544,100,161557,100,1.789e+09,11100,22,0.795
"109",115,"St. Vincent and the Grenadines",38000,NA,84,389,140,0.9,1561,96,103869,100,1.107e+09,10600,20,0.761
"110",116,"Sudan",NA,15900,853,2.376,2720,9.8,19827,32,45047502,2.8,9.879e+10,2200,2,0.526
