year,sector,VTFSECimports,cdi1_imports,cdi3_imports,VTFSECexports,cdi1_exports,cdi3_exports,Trade_balance,exp_share,imp_share
1995,Animal and Animal Products,842837.009,0.6970307654132231,330.9812968901903,1313989.573,0.8731578557252095,0.6414335595340376,471152.56400000013,0.01610880538813254,0.013372440274096144
1995,Vegetable Products,2363374.9760000003,0.8527846963685902,17513.74366715726,3499158.008,0.7388379910341943,0.6754124765434143,1135783.0319999997,0.04289779502930463,0.037497274531585516
1995,Foodstuff,897648.113,0.7191377224335906,87.80802850803695,1578061.208,0.5734679118349332,0.5688297186759058,680413.0950000001,0.019346181592746432,0.014242072488593827
1995,Mineral Products,1775269.84,0.8078575786255799,170.59707727553075,8940643.492999999,0.588125913559752,0.198561752449914,7165373.652999999,0.10960748017549946,0.028166406615165875
1995,Chemical Products,4483812.656,0.5976860794523935,1781.882467680448,3403285.462,0.4103968810707547,1.317495316236273,-1080527.1940000006,0.041722449183863294,0.07114010930029818
1995,Plastics/Rubbers,4565725.258,0.7753910864265497,21.16444995543262,2098624.7199999997,0.6070694501287739,2.175579661522333,-2467100.5380000006,0.025728010245941377,0.07243973350550535
1995,Raw hides/skins/leathers/furs,326698.196,0.709858737872241,6.275646098873156,329701.323,0.6817767638834994,0.9908913710971068,3003.1269999999786,0.004041960878190946,0.005183389038467052
1995,Wood and Wood Products,2818483.213,0.8047624087046655,64.50778679929067,1181114.482,0.7669180466426986,2.3862913002534833,-1637368.731,0.01447982824414922,0.04471801549638063
1995,Textiles,3385475.72,0.7819718549232051,14.84411006537362,4771588.606,0.7667136483305738,0.7095070425272955,1386112.8859999995,0.05849710973793597,0.05371391073443317
1995,Footwear/headgear,161584.207,0.4973844642686119,2.624943408505728,334379.874,0.7605031966294891,0.4832354443676834,172795.66700000002,0.004099317396922966,0.0025636927831495923
1995,Stone/glass,660128.795,0.6766455967296998,186.6729733419191,1640301.784,0.691773081961283,0.4024435024329645,980172.989,0.02010921757616003,0.010473594289389538
1995,Metals,5890769.818,0.7018824459148503,86.82643465044374,6081056.629,0.5408841162055623,0.9687082652556565,190286.81099999975,0.07455048335514781,0.09346287208379243
1995,Machinery/Eelectrical,26005474.591,0.5937939033212587,20.46067525454403,28926738.559,0.8233038157286635,0.8990116372075031,2921263.968000002,0.35462625544009585,0.41260249853085457
1995,Transportation,5640809.348,0.6489996873735591,6.947363029502544,13118455.117,0.7200544602373048,0.42999036835443855,7477645.769,0.16082520349855506,0.08949700273981825
1995,Miscellaneous,3209821.769,0.6559242866388412,10.878451300943029,4352548.404,0.808112682805364,0.7374580294271208,1142726.6350000002,0.05335990225735443,0.050926987588469946
1996,Animal and Animal Products,1174114.061,0.7468279163538,240.0036805172832,1019417.937,0.7622671387862463,1.151749462497441,-154696.12399999995,0.01052834399360138,0.015051012053757872
1996,Vegetable Products,4241518.9290000005,0.8456242238426365,3573.6092124375787,3482087.495,0.7530631058749185,1.2180965972539413,-759431.4340000004,0.0359623012628801,0.05437218976174172
1996,Foodstuff,1209143.182,0.7033412326014457,174.97785581158064,2064560.184,0.5298069928482331,0.5856662311763347,855417.0019999999,0.021322363501482082,0.015500051665764993
1996,Mineral Products,2141880.236,0.7801827471965053,450.1925025079321,11464125.815,0.5872756997688823,0.1868332806673755,9322245.579,0.1183991921129457,0.027456842840537073
1996,Chemical Products,5408401.916,0.5904008874956851,1630.1488113665682,3607217.173,0.38911815528947186,1.499328057229783,-1801184.7430000002,0.03725461548060862,0.06933050640748878
1996,Plastics/Rubbers,5684162.352,0.7793575572318774,21.35550199466727,2141891.629,0.6076736291990498,2.6538048307578492,-3542270.7229999998,0.022121027155447462,0.07286548974858816
1996,Raw hides/skins/leathers/furs,473458.027,0.7611100666853284,21.824627661294254,373540.973,0.6979268270427775,1.2674861962197652,-99917.054,0.003857856249834228,0.006069276152996707
1996,Wood and Wood Products,2977610.033,0.8264487076219559,53.398127453000846,1349009.942,0.7515780908097999,2.2072558105728177,-1628600.0909999998,0.013932304116563968,0.03817009436025601
1996,Textiles,4408881.482,0.7859548645395298,17.45057191449984,5976008.572,0.7916319422718691,0.7377635806376485,1567127.0899999999,0.06171901795242451,0.056517616587143375
1996,Footwear/headgear,145548.959,0.5735785828489669,2.0782437180848676,436634.973,0.7394464245634058,0.3333424210158264,291086.01399999997,0.00450947842737522,0.0018657975481999704
1996,Stone/glass,832599.131,0.6437161378870538,12.751883128317214,1990929.643,0.6618558670988549,0.418196159732401,1158330.5119999999,0.020561922041756255,0.010673119395194204
1996,Metals,7252036.36,0.6870451867980505,104.64202436737835,5729685.558,0.605324087842048,1.2656953486521505,-1522350.8020000001,0.05917504326765037,0.09296412528752637
1996,Machinery/Eelectrical,30803211.85,0.6026195835164958,10.56713395057066,33953486.131,0.8014046498934588,0.9072179431341586,3150274.280999996,0.3506647948741573,0.3948675245861035
1996,Transportation,7547572.096,0.7095486300165783,8.290035617153366,17574056.185,0.7386662426339294,0.42947240048328095,10026484.088999998,0.18150132753506565,0.09675260893881976
1996,Miscellaneous,3708838.909,0.6487315324520904,9.305084728365872,5663395.421,0.8573450572307431,0.6548790316225387,1954556.512,0.058490412028207144,0.04754374466588149
1997,Animal and Animal Products,1598348.132,0.7570379658052269,258.94979272890237,1140859.712,0.805274010950385,1.4010032216827024,-457488.4199999999,0.010314366871692819,0.01656130030112485
1997,Vegetable Products,3350334.561,0.8327922791010061,636.3635776652103,3762591.259,0.7284189819587089,0.8904327710287705,412256.69799999986,0.034017106770749546,0.03471452536721724
